mysql> SELECT * FROM Entry WHERE Time(birthday) BETWEEN "20:00:00" AND "21:00:00" AND MONTH(birthday)!=2;
+------+---------------+-------------+------------+---------------------+---------+
| id   | addressBookId | firstName   | lastName   | birthday            | type    |
+------+---------------+-------------+------------+---------------------+---------+
|   62 |             6 | Ima         | Manning    | 1989-03-10 20:45:05 | phone   |
|   77 |            50 | Ivana       | Wong       | 1973-03-30 20:52:45 | phone   |
|  138 |            66 | Jason       | Medina     | 1956-11-23 20:33:40 | phone   |
|  168 |            31 | Elijah      | Espinoza   | 1960-03-16 20:03:52 | phone   |
|  173 |            53 | Malachi     | Hamilton   | 1984-04-24 20:48:15 | phone   |
|  177 |            39 | Harrison    | English    | 1998-08-22 20:10:21 | phone   |
|  182 |            52 | Wayne       | Gardner    | 1990-07-14 20:13:17 | phone   |
|  185 |            65 | Devin       | Bishop     | 1962-01-19 20:45:35 | phone   |
|  210 |            78 | Hayes       | Johnson    | 1949-03-09 20:39:39 | phone   |
|  221 |            27 | Macy        | Preston    | 1963-06-22 20:30:09 | phone   |
|  272 |            52 | Justina     | Frank      | 1985-05-12 20:01:34 | phone   |
|  279 |            19 | Willa       | Henson     | 1962-11-07 20:08:58 | phone   |
|  282 |            53 | Elton       | Head       | 1966-10-19 20:26:28 | phone   |
|  292 |            12 | Ross        | Schroeder  | 1946-10-02 20:51:20 | phone   |
|  313 |            20 | Joan        | Reese      | 1979-09-24 20:56:56 | phone   |
|  374 |            38 | Kylynn      | Baxter     | 1950-08-10 20:23:47 | phone   |
|  405 |            43 | Gage        | Mitchell   | 1964-08-05 20:10:04 | phone   |
|  408 |            55 | Avye        | Potts      | 1984-10-17 20:03:30 | phone   |
|  473 |            15 | Lynn        | Saunders   | 1986-12-23 20:11:06 | phone   |
|  484 |            59 | Fleur       | Guthrie    | 1981-09-24 20:05:13 | phone   |
|  560 |            14 | Branden     | Fry        | 1952-05-18 20:26:05 | phone   |
|  583 |            27 | Nathaniel   | Humphrey   | 1978-09-28 20:08:29 | phone   |
|  604 |            17 | Hanna       | Melendez   | 1955-06-01 20:27:54 | phone   |
