mysql> SELECT Account.email FROM Account
    -> JOIN AddressBook ON AddressBook.accountId = Account.id
    -> JOIN Entry ON Entry.addressBookId = AddressBook.id
    -> JOIN Phone ON Phone.entryId = Entry.id
    -> WHERE Phone.content LIKE "_-%";
+-------------------------------------------------------+
| email                                                 |
+-------------------------------------------------------+
| Proin.nisl@arcuMorbisit.net                           |
| ipsum.Donec@tellus.ca                                 |
| aptent@nequesedsem.edu                                |
| Nam.consequat.dolor@nondapibusrutrum.ca               |
| non.justo.Proin@variuset.edu                          |
| Praesent@miDuis.net                                   |
| ultrices.sit@arcu.co.uk                               |
| diam.luctus.lobortis@ipsumac.ca                       |
| adipiscing@Sedetlibero.ca                             |
| et.ipsum.cursus@euaugue.com                           |
| non@eget.com                                          |
| neque.vitae@enimcommodohendrerit.net                  |
| inceptos@dictummagna.org                              |
| ridiculus.mus@euismod.net                             |
| nulla.vulputate@Nullamscelerisque.co.uk               |
| Suspendisse.non@nullavulputatedui.ca                  |
| sit.amet.metus@orcilacus.net                          |
| ultricies.adipiscing@cursusluctusipsum.co.uk          |
| ultricies.adipiscing@cursusluctusipsum.co.uk          |
| ultrices.sit@arcu.co.uk                               |
| Quisque@Donec.net                                     |
| natoque@perinceptoshymenaeos.net                      |
| ipsum.Donec@tellus.ca                                 |
| ultrices.sit@arcu.co.uk                               |
| Vestibulum.ante.ipsum@egestasblanditNam.net           |
| Vivamus.euismod.urna@anteNunc.net                     |
| commodo@tincidunt.co.uk                               |
| Vivamus.molestie@Infaucibus.org                       |
| dapibus.quam@interdumligulaeu.ca                      |
| Proin.nisl@arcuMorbisit.net                           |
| lobortis@elementumpurus.co.uk                         |
| Proin.nisl@arcuMorbisit.net                           |
| magna.Praesent@Lorem.ca                               |
| inceptos@dictummagna.org                              |
| commodo@tincidunt.co.uk                               |
| inceptos@dictummagna.org                              |
| iaculis.nec@magnaCrasconvallis.co.uk                  |
| facilisis.non@vulputateullamcorpermagna.ca            |
| blandit@nec.com                                       |
| Vivamus.euismod.urna@anteNunc.net                     |
| sit.amet.metus@orcilacus.net                          |
| Ut.sagittis.lobortis@semperduilectus.net              |
| eu@Crasvulputatevelit.com                             |
| et.ipsum.cursus@euaugue.com                           |
| nec.ligula@sedtortorInteger.com                       |
| Suspendisse.non@nullavulputatedui.ca                  |
| commodo@tincidunt.co.uk                               |
| ut@Integersemelit.org                                 |
| Nam.consequat.dolor@nondapibusrutrum.ca               |
| quam.dignissim.pharetra@sed.co.uk                     |
| est.ac@etmalesuadafames.ca                            |
| consectetuer.rhoncus.Nullam@temporloremeget.org       |
| ridiculus.mus@euismod.net                             |
| Morbi.neque@erat.org                                  |
| neque.vitae@enimcommodohendrerit.net                  |
| adipiscing@Sedetlibero.ca                             |
| inceptos@dictummagna.org                              |
| Vivamus.euismod.urna@anteNunc.net                     |
| Praesent@miDuis.net                                   |
| natoque@perinceptoshymenaeos.net                      |
| egestas.Fusce.aliquet@nec.edu                         |
| ridiculus.mus@euismod.net                             |
| Proin.nisl@arcuMorbisit.net                           |
| blandit@nec.com                                       |
| Nunc.pulvinar.arcu@vel.ca                             |
| Praesent@miDuis.net                                   |
| Phasellus.vitae@diamat.com                            |
| Vestibulum.ante.ipsum@egestasblanditNam.net           |
| sit.amet.metus@orcilacus.net                          |
| Vivamus.euismod.urna@anteNunc.net                     |
| adipiscing@Sedetlibero.ca                             |
| sit.amet.metus@orcilacus.net                          |
| orci.consectetuer.euismod@lacinia.com                 |
| et.ipsum.cursus@euaugue.com                           |
| quam.dignissim.pharetra@sed.co.uk                     |
| semper.egestas.urna@ipsumSuspendissesagittis.ca       |
| ipsum.Donec@tellus.ca                                 |
| tincidunt.nibh.Phasellus@Inscelerisquescelerisque.net |
| ultricies.adipiscing@cursusluctusipsum.co.uk          |
| ipsum.non@Nullaeu.net                                 |
| adipiscing@Sedetlibero.ca                             |
| dignissim.lacus@vel.ca                                |
| adipiscing@Sedetlibero.ca                             |
| Vivamus.molestie@Infaucibus.org                       |
| lobortis@elementumpurus.co.uk                         |
| ultricies.adipiscing@cursusluctusipsum.co.uk          |
| sit.amet.metus@orcilacus.net                          |
| Duis.ac.arcu@ascelerisque.co.uk                       |
| Vivamus.molestie@Infaucibus.org                       |
| lorem@apurusDuis.edu                                  |
| ultrices.sit@arcu.co.uk                               |
| consectetuer.rhoncus.Nullam@temporloremeget.org       |
| dignissim.lacus@vel.ca                                |
| iaculis.nec@magnaCrasconvallis.co.uk                  |
| consectetuer.rhoncus.Nullam@temporloremeget.org       |
| quam.dignissim.pharetra@sed.co.uk                     |
| consectetuer.rhoncus.Nullam@temporloremeget.org       |
+-------------------------------------------------------+
200 rows in set (0.00 sec)
